category,categories_all,media_tags,name,gen_pop_reach,all_reach,dem_reach,rep_reach
Film / Tv,Film / Tv,,Ian Somerhalder,0.0062912141194724,0.0053774282449418,0.0057710207880856,0.0051510989010989
Music||Hip Hop And Rap,Music||Hip Hop And Rap,,Ice Cube,0.015697730799069,0.0133763527592928,0.0158858206639776,0.0120955433455433
Music||Hip Hop And Rap,Music||Hip Hop And Rap,,Ice Spice,0.0021576803723816,0.0018148820326678,0.0023270245113248,0.0011065323565323
Music||Hip Hop And Rap,Music||Hip Hop And Rap,,Ice-T,0.0084610162916989,0.0115950796531558,0.0119143654979832,0.0091193528693528
News Media,News Media,journalist,Ida Bae Wells,0.0049820597362296,0.0330711837063924,0.0462922742786224,0.0121336996336996
Music||Singers/Songwriters,Music||Singers/Songwriters,,Idina Menzel,0.0048123545384018,0.0070578745714861,0.0080980452994104,0.0048076923076923
Film / Tv,Film / Tv,,Idris Elba,0.0085216252909231,0.0139813134368488,0.0173440893577412,0.0081654456654456
Music||Hip Hop And Rap,Music||Hip Hop And Rap,,Iggy Azalea,0.0084973816912335,0.0060159978490287,0.0060192367359602,0.00503663003663
News Media,News Media,journalist,Igor Bobic,0.0011030837858805,0.0119311689184647,0.014520632950667,0.008089133089133
Social Issues,Social Issues,activist,Igor Volsky,0.0015273467804499,0.0097465886939571,0.0114799875892026,0.0031669719169719
Entertainment,Entertainment,,Ike Barinholtz,0.0022182893716058,0.0051757746857565,0.0064225876512565,0.003052503052503
Comedy,Comedy,,Il Donaldo Trumpo,0.0018182699767261,0.0021173623714458,0.0009308098045299,0.0042735042735042
Entertainment,Entertainment,,Ilana Glazer,0.0049214507370054,0.0098138065470188,0.0133105802047781,0.0040445665445665
Politics / Government,Politics / Government,politician,Ileana Roslehtinen,0.0004848719937936,0.0036969819183975,0.0035370772572137,0.0050747863247863
By Country||United States,By Country||United States|Politics / Government,politician,Ilhan Omar,0.0113096392552366,0.0346844121798749,0.0461991932981694,0.0184294871794871
Entertainment,Entertainment,,Iliza Shlesinger,0.0023637509697439,0.0026887141224709,0.0034439962767607,0.0019841269841269
News Media,News Media,journalist,Illia Ponomarenko,0.002666795965865,0.0113262082409087,0.0139311200744647,0.0103021978021978
Politics / Government,Politics / Government,politician,Illuminatibot (Conspiracy Theorist),0.0016485647788983,0.0017812731061369,0.0011790257524045,0.0028235653235653
Authors||Politics & Social Sciences,Authors||Politics & Social Sciences,political_author,Ilya Shapiro,0.0004121411947245,0.0041675068898299,0.0019547005895128,0.0085088522588522
Fashion / Beauty,Fashion / Beauty,,Iman Abdulmajid,0.0020607059736229,0.0032264569469651,0.004312752094322,0.0017551892551892
Sports||Basketball,Sports||Basketball,,Iman Shumpert,0.0018182699767261,0.0023862337836929,0.0022959975178405,0.0021749084249084
Politics / Government,Politics / Government,politician,Imani Barbarin,0.0012970325833979,0.0025542784163473,0.004219671113869,0.0006868131868131
Social Issues,Social Issues,activist,Imani Gandy (Advocate),0.0017819045771916,0.0088391476776231,0.0114799875892026,0.0026709401709401
Music||Electronic,Music||Electronic,,Imogen Heap,0.0027031613653995,0.0030920212408415,0.0034750232702451,0.0022130647130647
News Media,News Media,journalist,Ina Fried,0.000836404189294,0.0058143442898433,0.0080049643189574,0.0032432844932844
